INFO 2026-06-21 13:59:16,408 basehttp "GET /static/img/cat_pettoys.png HTTP/1.1" 200 613266
INFO 2026-06-21 13:59:16,413 basehttp "GET /static/img/age_1_3.png HTTP/1.1" 200 631376
INFO 2026-06-21 13:59:16,420 basehttp "GET /static/img/cat_kitchen.png HTTP/1.1" 200 670560
INFO 2026-06-21 13:59:16,422 basehttp "GET /static/img/age_0_12.png HTTP/1.1" 200 906743
INFO 2026-06-21 13:59:16,424 basehttp "GET /static/images2/card3.png HTTP/1.1" 200 143583
INFO 2026-06-21 13:59:16,426 basehttp "GET /static/images2/card2.png HTTP/1.1" 200 145619
INFO 2026-06-21 13:59:16,427 basehttp "GET /static/images2/card4.png HTTP/1.1" 200 93201
INFO 2026-06-21 13:59:16,427 basehttp "GET /static/img/age_3plus.png HTTP/1.1" 200 766515
INFO 2026-06-21 13:59:16,430 basehttp "GET /static/images2/card5.png HTTP/1.1" 200 113679
INFO 2026-06-21 13:59:16,433 basehttp "GET /static/images2/card6.png HTTP/1.1" 200 162807
INFO 2026-06-21 13:59:16,448 basehttp "GET /static/img/newsletter_gift.png HTTP/1.1" 200 279579
INFO 2026-06-21 13:59:16,452 basehttp "GET /static/img/silicone_vs_plastic_bg.png HTTP/1.1" 200 518103
INFO 2026-06-21 13:59:16,453 basehttp "GET /static/img/hero_desktop.png HTTP/1.1" 200 600536
INFO 2026-06-21 13:59:16,453 basehttp "GET /static/img/about_hands.png HTTP/1.1" 200 740598
WARNING 2026-06-21 13:59:16,662 log Not Found: /favicon.ico
WARNING 2026-06-21 13:59:16,663 basehttp "GET /favicon.ico HTTP/1.1" 404 7872
INFO 2026-06-21 13:59:19,035 basehttp "GET /products/?category=feeding HTTP/1.1" 200 20980
INFO 2026-06-21 13:59:19,057 basehttp "GET /static/css/tokens.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:19,061 basehttp "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2026-06-21 13:59:19,061 basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2026-06-21 13:59:19,062 basehttp "GET /static/css/components.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:19,062 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,084 basehttp "GET /products/ HTTP/1.1" 200 33337
INFO 2026-06-21 13:59:23,107 basehttp "GET /static/css/tokens.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,107 basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,107 basehttp "GET /static/css/components.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,108 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,108 basehttp "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2026-06-21 13:59:23,318 basehttp "GET /media/product_images/71on-AODBL._SY879_.jpg HTTP/1.1" 200 91244
INFO 2026-06-21 13:59:23,319 basehttp "GET /media/product_images/61wmDgJwBL._SL1000_.jpg HTTP/1.1" 200 89453
INFO 2026-06-21 13:59:23,322 basehttp "GET /media/product_images/61QGzJuMBLL._SL1184_.jpg HTTP/1.1" 200 111969
INFO 2026-06-21 13:59:23,323 basehttp "GET /media/product_images/71dyRrwkljL._SL1500_.jpg HTTP/1.1" 200 204375
INFO 2026-06-21 13:59:23,325 basehttp "GET /media/product_images/51IIPDX2HIL.jpg HTTP/1.1" 200 46047
INFO 2026-06-21 13:59:23,325 basehttp "GET /media/product_images/71CjQ2NYkeL._SL1500_.jpg HTTP/1.1" 200 171761
INFO 2026-06-21 13:59:23,325 basehttp "GET /media/product_images/81DAWrjwZKL._SL1500_.jpg HTTP/1.1" 200 214910
INFO 2026-06-21 13:59:23,327 basehttp "GET /media/product_images/61-kgLJ0-4L.jpg HTTP/1.1" 200 72274
INFO 2026-06-21 13:59:23,328 basehttp "GET /media/product_images/61FBnRfEleL._SX569_.jpg HTTP/1.1" 200 37764
INFO 2026-06-21 13:59:23,334 basehttp "GET /media/product_images/61iNvqcBgrL._SX569_.jpg HTTP/1.1" 200 54191
INFO 2026-06-21 13:59:23,335 basehttp "GET /media/product_images/1.jpg HTTP/1.1" 200 75737
INFO 2026-06-21 13:59:23,335 basehttp "GET /media/product_images/2.jpg HTTP/1.1" 200 93392
INFO 2026-06-21 13:59:25,156 basehttp "POST /cart_add/ HTTP/1.1" 200 45
INFO 2026-06-21 13:59:25,180 basehttp "GET /products/ HTTP/1.1" 200 33337
INFO 2026-06-21 13:59:25,200 basehttp "GET /static/css/tokens.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:25,201 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:25,201 basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2026-06-21 13:59:25,201 basehttp "GET /static/css/components.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:25,201 basehttp "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2026-06-21 13:59:26,966 basehttp "GET /cart/ HTTP/1.1" 200 18130
INFO 2026-06-21 13:59:26,985 basehttp "GET /static/css/tokens.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:26,985 basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2026-06-21 13:59:26,986 basehttp "GET /static/css/components.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:26,986 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:26,986 basehttp "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2026-06-21 13:59:28,449 basehttp "GET /payment/checkout/ HTTP/1.1" 302 0
INFO 2026-06-21 13:59:28,471 basehttp "GET /accounts/login/?next=/payment/checkout/ HTTP/1.1" 200 13699
INFO 2026-06-21 13:59:28,494 basehttp "GET /static/css/tokens.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:28,494 basehttp "GET /static/img/logo.png HTTP/1.1" 304 0
INFO 2026-06-21 13:59:28,495 basehttp "GET /static/css/style.css HTTP/1.1" 304 0
INFO 2026-06-21 13:59:28,495 basehttp "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2026-06-21 13:59:28,495 basehttp "GET /static/css/components.css HTTP/1.1" 304 0
INFO 2026-06-21 14:05:50,171 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2026-06-21 14:05:50,207 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 11908
INFO 2026-06-21 14:05:50,257 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 200 608
INFO 2026-06-21 14:05:50,263 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 200 164
INFO 2026-06-21 14:05:50,266 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 200 4647
INFO 2026-06-21 14:05:50,267 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 200 30131
INFO 2026-06-21 14:05:50,268 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 200 50918
INFO 2026-06-21 14:05:50,269 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 200 27176
INFO 2026-06-21 14:05:50,271 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 200 200633
INFO 2026-06-21 14:05:50,273 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 200 330254
INFO 2026-06-21 14:05:50,279 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 200 15524
INFO 2026-06-21 14:05:50,306 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 200 837
INFO 2026-06-21 14:05:50,307 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 200 38101
INFO 2026-06-21 14:05:50,312 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 200 703
INFO 2026-06-21 14:05:50,315 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 200 44758
INFO 2026-06-21 14:05:50,356 basehttp "GET /static/unfold/fonts/inter/Inter-Medium.woff2 HTTP/1.1" 200 114348
INFO 2026-06-21 14:05:50,356 basehttp "GET /static/unfold/fonts/inter/Inter-Regular.woff2 HTTP/1.1" 200 111268
INFO 2026-06-21 14:05:50,357 basehttp "GET /static/unfold/fonts/inter/Inter-SemiBold.woff2 HTTP/1.1" 200 114812
INFO 2026-06-21 14:05:50,359 basehttp "GET /static/unfold/fonts/material-symbols/Material-Symbols-Outlined.woff2 HTTP/1.1" 200 291696
INFO 2026-06-21 14:06:37,942 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12750
INFO 2026-06-21 14:06:37,970 basehttp "GET /static/unfold/js/htmx/htmx.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,971 basehttp "GET /static/unfold/css/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,972 basehttp "GET /static/unfold/fonts/inter/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,972 basehttp "GET /static/unfold/css/simplebar/simplebar.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,972 basehttp "GET /static/unfold/js/chart/chart.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,972 basehttp "GET /static/unfold/fonts/material-symbols/styles.css HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,975 basehttp "GET /static/unfold/js/app.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,975 basehttp "GET /static/unfold/js/simplebar/simplebar.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,979 basehttp "GET /static/unfold/js/alpine/alpine.anchor.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,985 basehttp "GET /static/unfold/js/alpine/alpine.persist.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,985 basehttp "GET /static/unfold/js/alpine/alpine.sort.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,986 basehttp "GET /static/unfold/js/alpine/alpine.resize.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:37,986 basehttp "GET /static/unfold/js/alpine/alpine.js HTTP/1.1" 304 0
INFO 2026-06-21 14:06:46,801 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 12750
